XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
8050846063228;OBAGB046-EVS00-589; O bag spring 19;15; scocca O bag reverse XL;OBAGB046;EVS00;589;lily grey;lily grey
8050846063136;OBAGB047-EVS00-017; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;17;blu navy;blue navy
8050846063112;OBAGB047-EVS00-055; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;55;nero;black
8050846067028;OBAGB047-EVS00-026; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;26;cobalto;cobalt blue
8050846063167;OBAGB047-EVS00-088; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;88;turchese;turquoise
8050846063150;OBAGB047-EVS00-048; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;48;mattone;brick
8050846063167;OBAGB047-EVS00-224; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;224;verde inglese;english green
8050846063129;OBAGB047-EVS00-371; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;371;latte;milk
CodeBarre;OBAGB047-EVS00-588; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;588;orchidea;orchid
8050846063143;OBAGB047-EVS00-589; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;589;lily grey;lily grey
8050846067035;OBAGB047-EVS00-602; O bag spring 19;16; scocca O Bag Queen XL;OBAGB047;EVS00;602;viola scuro;dark violet
8050846063273;OBAGB048-EVS00-017; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;17;blu navy;blue navy
8050846063341;OBAGB048-EVS00-088; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;88;turchese;turquoise
8050846063372;OBAGB048-EVS00-026; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;26;cobalto;cobalt blue
8050846063334;OBAGB048-EVS00-371; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;371;latte;milk
8050846063280;OBAGB048-EVS00-055; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;55;nero;black
8050846063365;OBAGB048-EVS00-422; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;422;sangria;sangria
8050846023758;OBAGB048-EVS00-587; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;587;celery green;celery green
8050846063327;OBAGB048-EVS00-588; O bag spring 19;17; scocca O bag sheen XL;OBAGB048;EVS00;588;orchidea;orchid
8050846006942;OBAGB206-EVS00-026; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;26;cobalto;cobalt blue
8056300455745;OBAGB206-EVS00-075; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;75;rosa smoke;rosa smoke
