'040;095;8050846028968;OBAGB037-EVS00-347;CORPS O BAG TWIST MINI EVA COMPOUND;UNICA;2;15,560;31,12;OTWISTMINI      ;CEDRO;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'041;035;8050846079908;OBAGB037-EVS00-587;CORPS O BAG TWIST MINI EVA COMPOUND;UNICA;2;15,560;31,12; ; ; ;celery green;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'042;036;8050846079779;OBAGB038-EVS00-088;CORPS O BAG SAND EVA COMPOUND;UNICA;2;16,670;33,34; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'043;024;8050846029064;OBAGB038-EVS00-347;CORPS O BAG SAND EVA COMPOUND;UNICA;1;16,670;16,67;OSAND           ;CEDRO;0;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'044;048;8050846079830;OBAGB054-EVS00-088;CORPS O BAG TULIP EVA COMPOUND;UNICA;2;15,560;31,12; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'045;074;8050846079816;OBAGB054-EVS00-347;CORPS O BAG TULIP EVA COMPOUND;UNICA;1;15,560;15,56; ; ; ;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'046;040;8050846079809;OBAGB054-EVS00-486;CORPS O BAG TULIP EVA COMPOUND;UNICA;1;15,560;15,56; ; ; ;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'047;049;8050846079854;OBAGB054-EVS00-587;CORPS O BAG TULIP EVA COMPOUND;UNICA;1;15,560;15,56; ; ; ;celery green;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'048;021;8050846080027;OBAGB057-EVS56-026;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;cobalto;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'049;060;8050846080034;OBAGB057-EVS56-088;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853ll,03;2019 F2/OBAG/132 227323
'050;076;8050846080041;OBAGB057-EVS56-119;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;fragola;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'051;010;8050846080010;OBAGB057-EVS56-347;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'052;092;8050846079991;OBAGB057-EVS56-371;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;latte;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'053;050;8050846080003;OBAGB057-EVS56-486;CORPS OBAG URBAN MINI EVA COMPOUND TEXTURE PAILLE;UNICA;2;15,560;31,12; ; ; ;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'054;013;8050846046740;OBAGB206-EVS00-484;CORPS INFERIEUR O POCKET EVA COMPOUND;UNICA;2;4,800;9,60; ; ; ;coral;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'055;042;8050846016941;OBAGB206-EVS00-485;CORPS INFERIEUR O POCKET EVA COMPOUND;UNICA;2;4,800;9,60;COQUOPOCKET     ;ATLAN;0;atlantic;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'056;018;8050846079540;OBAGB426-TESZ9-026;CORPS COMPLET O BAG TOTE EN TISSU CANVAS SLOGAN BEACH;UNICA;2;27,780;55,56; ; ; ;cobalto;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'057;069;8050846079557;OBAGB426-TESZ9-088;CORPS COMPLET O BAG TOTE EN TISSU CANVAS SLOGAN BEACH;UNICA;2;27,780;55,56; ; ; ;turchese;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'058;070;8050846079526;OBAGB426-TESZ9-347;CORPS COMPLET O BAG TOTE EN TISSU CANVAS SLOGAN BEACH;UNICA;2;27,780;55,56; ; ; ;cedro;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'059;031;8050846079533;OBAGB426-TESZ9-486;CORPS COMPLET O BAG TOTE EN TISSU CANVAS SLOGAN BEACH;UNICA;1;27,780;27,78; ; ; ;pink;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'060;096;8050846063471;OBAGB451-ECS07-371;CORPS COMPLET O BAG DOUBLE EN FAUX CUIR EFFET GRIFFE;UNICA;2;20,000;40,00;OBAGDOUBLE      ;LATTE;0;latte;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
'061;086;8050846078833;OBAGP034-ECSB6-125;RABAT O BAG GLAM EN FAUX CUIR EFFET GRIFFE APPLICATIONS FLAMINGO;UNICA;3;20,000;60,00; ; ; ;multicolor;FAT_2019_50_0001419.txt;FAT;28/06/2019;2896,03;2853,03;2019 F2/OBAG/132 227323
