             ;EXPORT CODE EAN13, le 14/12/2018 18:17:27;;;;
 ;;;;;
             ;CRITERES T/U/B/L/S (Tous/Unique/Bornes/Liste/Sauf);;;;
 ;;;;;
             ;NUMERO DE SOCIETE      U       1;;;;
             ;COLLECTION             T;;;;
             ;CODE FOURNISSEUR ART   T;;;;
             ;DEPARTEMENT            T;;;;
             ;FAMILLE                T;;;;
             ;SOUS FAMILLE           T;;;;
             ;MODELE                 T;;;;
             ;MATIERE                T;;;;
             ;GRILLE TAILLE          T;;;;
             ;MARQUE/DIVISION        T;;;;
             ;THEME                  T;;;;
             ;DATE DE CREATION       T;;;;
             ;DATE DE MISE A JOUR    T;;;;
             ;NUMERO DE COMMANDE     T;;;;
             ;DATE                   T;;;;
             ;CODE EAN               T;;;;
             ;ENVOYER PAR MAIL A     T;;;;
Export EAN13 vers D:\VALMAG4\IMP\EAN13EXP.TXT;;;;;
3006380440006;FULL         ;ANSES/CHAINE/F.C;WHITE;S    ;16/02/2018
3006380440037;FULL         ;ANSES/CHAINE/F.C;WHITE;XL   ;16/02/2018
8050846003187;FULL         ;ANSES/CHAINE/F.C;YELLO;L    ;16/02/2018
3006381350014;FULL         ;ANSES/CHAINE/F.C;YELLO;M    ;16/02/2018
3006381350007;FULL         ;ANSES/CHAINE/F.C;YELLO;S    ;16/02/2018
3006381350038;FULL         ;ANSES/CHAINE/F.C;YELLO;XL   ;16/02/2018
8050846033177;FULL         ;ANSES/COCO      ;AUBER;0;11/09/2018
8050846033122;FULL         ;ANSES/COCO      ;BDX  ;0;11/09/2018
8050846033160;FULL         ;ANSES/COCO      ;BLK  ;0;11/09/2018
8050846033139;FULL         ;ANSES/COCO      ;CURRY;0;11/09/2018
8050846033115;FULL         ;ANSES/COCO      ;NAVY ;0;11/09/2018
8050846033146;FULL         ;ANSES/COCO      ;TERRA;0;11/09/2018
8050846033153;FULL         ;ANSES/COCO      ;TESTA;0;11/09/2018
3002291576032;FULL         ;ANSES/CORDE     ;BIROB;L    ;13/02/2018
3002291576025;FULL         ;ANSES/CORDE     ;BIROB;M    ;13/02/2018
8050846004436;FULL         ;ANSES/CORDE     ;BIROB;S    ;13/02/2018
3002291576049;FULL         ;ANSES/CORDE     ;BIROB;XL   ;13/02/2018
3002291576001;FULL         ;ANSES/CORDE     ;BIROB;XS   ;13/02/2018
3003240001032;FULL         ;ANSES/CORDE     ;BLACK;L    ;14/07/2018
8051770309055;FULL         ;ANSES/CORDE     ;BLACK;L    ;13/02/2018
3003240001025;FULL         ;ANSES/CORDE     ;BLACK;M    ;14/07/2018
3020340004022;FULL         ;ANSES/CORDE     ;BLACK;M    ;13/02/2018
3003240001018;FULL         ;ANSES/CORDE     ;BLACK;S    ;25/04/2017
8050450213675;FULL         ;ANSES/CORDE     ;BLACK;S    ;14/07/2018
3003240001049;FULL         ;ANSES/CORDE     ;BLACK;XL   ;14/07/2018
3020340004046;FULL         ;ANSES/CORDE     ;BLACK;XL   ;13/02/2018
3003240001001;FULL         ;ANSES/CORDE     ;BLACK;XS   ;14/07/2018
3020340004008;FULL         ;ANSES/CORDE     ;BLACK;XS   ;13/02/2018
8050846004535;FULL         ;ANSES/CORDE     ;BLNAB;L    ;13/02/2018
3002291575028;FULL         ;ANSES/CORDE     ;BLNAB;M    ;13/02/2018
3002291575011;FULL         ;ANSES/CORDE     ;BLNAB;S    ;13/02/2018
3002291575042;FULL         ;ANSES/CORDE     ;BLNAB;XL   ;13/02/2018
3002291575004;FULL         ;ANSES/CORDE     ;BLNAB;XS   ;13/02/2018
3020340319034;FULL         ;ANSES/CORDE     ;BLUE ;L    ;13/02/2018
8056098538118;FULL         ;ANSES/CORDE     ;BLUE ;L    ;13/02/2018
8050450212050;FULL         ;ANSES/CORDE     ;BLUE ;L    ;13/02/2018
3020340319027;FULL         ;ANSES/CORDE     ;BLUE ;M    ;13/02/2018
3020340319010;FULL         ;ANSES/CORDE     ;BLUE ;S    ;13/02/2018
8050450212210;FULL         ;ANSES/CORDE     ;BLUE ;S    ;13/02/2018
3020340319041;FULL         ;ANSES/CORDE     ;BLUE ;XL   ;13/02/2018
3020340319003;FULL         ;ANSES/CORDE     ;BLUE ;XS   ;13/02/2018
8056099170478;FULL         ;ANSES/CORDE     ;BLUET;L    ;01/06/2017
3002291075030;FULL         ;ANSES/CORDE     ;BLUET;L    ;01/06/2017
3002291075023;FULL         ;ANSES/CORDE     ;BLUET;M    ;01/06/2017
8056099173363;FULL         ;ANSES/CORDE     ;BLUET;S    ;01/06/2017
3002291075016;FULL         ;ANSES/CORDE     ;BLUET;S    ;01/06/2017
3002291075047;FULL         ;ANSES/CORDE     ;BLUET;XL   ;01/06/2017
3002291075009;FULL         ;ANSES/CORDE     ;BLUET;XS   ;01/06/2017
8056099170485;FULL         ;ANSES/CORDE     ;GREY ;L    ;01/06/2017
3002290341037;FULL         ;ANSES/CORDE     ;GREY ;L    ;01/06/2017
3002290341020;FULL         ;ANSES/CORDE     ;GREY ;M    ;01/06/2017
8056099173370;FULL         ;ANSES/CORDE     ;GREY ;S    ;01/06/2017
3002290341013;FULL         ;ANSES/CORDE     ;GREY ;S    ;01/06/2017
3002290341044;FULL         ;ANSES/CORDE     ;GREY ;XL   ;01/06/2017
3002290341006;FULL         ;ANSES/CORDE     ;GREY ;XS   ;01/06/2017
