XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en;
XXX
XXX;ATTENTION au format des colonnes !
XXX;Avant toute edition, changer les formats des colonnes suivantes :
XXX;Code Barre :;; numerique sans decimales
XXX;Code Couleur :;; numerique format "000"
XXX
CodeBarre;OBAGB439-EVS33-017; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;017;blu navy;navy blue;
CodeBarre;OBAGB439-EVS33-039; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;039;grigio;grey;
CodeBarre;OBAGB439-EVS33-076; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;076;rosso;red;
CodeBarre;OBAGB439-EVS33-055; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;055;nero;black;
CodeBarre;OBAGB439-EVS33-026; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;026;cobalto;cobalt blue;
CodeBarre;OBAGB439-EVS33-347; O bag 4 SEASONS | ss '18;44; scocca completo O bag roll;OBAGB439;EVS33;347;cedro;cedro;
CodeBarre;OBAGB413-TES20-484; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;484;coral;coral;
CodeBarre;OBAGB413-TES20-055; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;055;nero;black;
CodeBarre;OBAGB413-TES20-008; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;008;bianco;white;
CodeBarre;OBAGB413-TES20-041; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;041;grigio scuro;dark grey;
CodeBarre;OBAGB413-TES20-347; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;347;cedro;cedro;
CodeBarre;OBAGB413-TES20-078; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;078;sabbia;sand;
CodeBarre;OBAGB413-TES20-485; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;485;atlantic;atlantic;
CodeBarre;OBAGB413-TES20-026; O bag 4 SEASONS | ss '18;45; scocca completo O bag soft;OBAGB413;TES20;026;cobalto;cobalt blue;
CodeBarre;OBAGS438-TESP6-054; O bag 4 SEASONS | ss '18;48; pouch zip O bag sand;OBAGS438;TESP6;054;naturale;natural;
CodeBarre;OBAGS438-TESP6-008; O bag 4 SEASONS | ss '18;48; pouch zip O bag sand;OBAGS438;TESP6;008;bianco;white;
CodeBarre;OBAGS438-TESP6-055; O bag 4 SEASONS | ss '18;48; pouch zip O bag sand;OBAGS438;TESP6;055;nero;black;
CodeBarre;OBAGS438-TESP6-422; O bag 4 SEASONS | ss '18;48; pouch zip O bag sand;OBAGS438;TESP6;422;sangria;sangria;
CodeBarre;OBAGS438-TESP8-125; O bag 4 SEASONS | ss '18;49; pouch zip O bag sand;OBAGS438;TESP8;125;multicolor;multicolor;
CodeBarre;OBAGS438-TESP8-055; O bag 4 SEASONS | ss '18;49; pouch zip O bag sand;OBAGS438;TESP8;055;nero;black;
CodeBarre;OBAGS438-TESQ7-486; O bag 4 SEASONS | ss '18;50; pouch zip O bag sand;OBAGS438;TESQ7;486;pink;pink;
CodeBarre;OBAGS438-TESQ7-125; O bag 4 SEASONS | ss '18;50; pouch zip O bag sand;OBAGS438;TESQ7;125;multicolor;multicolor;
CodeBarre;ACCEP001-TES20-485; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;485;atlantic;atlantic;
CodeBarre;ACCEP001-TES20-486; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;486;pink;pink;
CodeBarre;ACCEP001-TES20-026; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;026;cobalto;cobalt blue;
CodeBarre;ACCEP001-TES20-347; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;347;cedro;cedro;
CodeBarre;ACCEP001-TES20-484; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;484;coral;coral;
CodeBarre;ACCEP001-TES20-078; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;078;sabbia;sand;
CodeBarre;ACCEP001-TES20-055; O bag 4 SEASONS | ss '18;51; accessorio pochette tessuto;ACCEP001;TES20;055;nero;black;
CodeBarre;ACCEC014-EVS34-485; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;485;atlantic;atlantic;
CodeBarre;ACCEC014-EVS34-486; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;486;pink;pink;
CodeBarre;ACCEC014-EVS34-479; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;479;skyway;skyway;
CodeBarre;ACCEC014-EVS34-371; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;371;latte;milk;
CodeBarre;ACCEC014-EVS34-484; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;484;coral;coral;
CodeBarre;ACCEC014-EVS34-017; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;017;blu navy;navy blue;
CodeBarre;ACCEC014-EVS34-486; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;486;pink;pink;
CodeBarre;ACCEC014-EVS34-347; O bag 4 SEASONS | ss '18;52; accessorio portachiavi stella;ACCEC014;EVS34;347;cedro;cedro;
