XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OBAGB024-EVS00-017; O bag fall 2018;18; scocca O pocket micro EVA;OBAGB024;EVS00;17;blu navy;navy blue
CodeBarre;OBAGB024-EVS00-020; O bag fall 2018;18; scocca O pocket micro EVA;OBAGB024;EVS00;20;bronzo;bronze
CodeBarre;OBAGB024-EVS00-055; O bag fall 2018;18; scocca O pocket micro EVA;OBAGB024;EVS00;55;nero;black
CodeBarre;OBAGB024-EVS00-018; O bag fall 2018;18; scocca O pocket micro EVA;OBAGB024;EVS00;18;bordeaux;burgundy
CodeBarre;HLESF300-PES00-093; O bag fall 2018;18; manico con fibbia rombo;HLESF300;PES00;93;vino;wine
CodeBarre;HLESF300-PES00-009; O bag fall 2018;18; manico con fibbia rombo;HLESF300;PES00;9;blu;blue
8058983594889;HLESG000-ECS04-026; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;26;cobalto;cobalt blue
8058983596500;HLESG000-ECS04-017; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;17;blu navy;navy blue
CodeBarre;HLESG000-ECS04-082; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;82;tabacco;tobacco
8058333583648;HLESG000-ECS04-183; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;183;viola;violet
8058983591833;HLESG000-ECS04-093; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;93;vino;wine
CodeBarre;HLESG000-ECS04-135; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;135;peltro;pewter
8058983596517;HLESG000-ECS04-042; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;42;legno;wood
8058983596524;HLESG000-ECS04-038; O bag fall 2018;19; manico lungo ecopelle;HLESG000;ECS04;38;grafite;graphite
CodeBarre;HLESG000-ECS83-018; O bag fall 2018;20; manico lungo ecopelle con;HLESG000;ECS83;18;bordeaux;burgundy
CodeBarre;HLESG000-ECS83-017; O bag fall 2018;20; manico lungo ecopelle con;HLESG000;ECS83;17;blu navy;navy blue
CodeBarre;HLESG000-ECS83-055; O bag fall 2018;21; manico lungo ecopelle con;HLESG000;ECS83;55;nero;black
CodeBarre;HLESD000-ECS00-017; O bag fall 2018;21; manico lungo componibile;HLESD000;ECS00;17;blu navy;navy blue
CodeBarre;HLESD000-ECS00-055; O bag fall 2018;21; manico lungo componibile;HLESD000;ECS00;55;nero;black
CodeBarre;HLESD000-ECS00-018; O bag fall 2018;21; manico lungo componibile;HLESD000;ECS00;18;bordeaux;burgundy
CodeBarre;HLESD000-ECS00-541; O bag fall 2018;21; manico lungo componibile;HLESD000;ECS00;541;verde bosco;green forest
CodeBarre;HLESD000-ECS00-017; O bag fall 2018;22; manico lungo componibile;HLESD000;ECS00;17;blu navy;navy blue
CodeBarre;HLESD000-ECS00-018; O bag fall 2018;22; manico lungo componibile;HLESD000;ECS00;18;bordeaux;burgundy
CodeBarre;HLESD000-ECS00-541; O bag fall 2018;22; manico lungo componibile;HLESD000;ECS00;541;verde bosco;green forest
CodeBarre;HLESX200-ECS00-052; O bag fall 2018;23; manico extra slim goccia;HLESX200;ECS00;52;muschio;moss green
CodeBarre;HLESG000-ROS09-544; O bag fall 2018;23; manico lungo corda melange;HLESG000;ROS09;544;blu navy/bordeaux;navy blue/burgundy
CodeBarre;HLESXF00-ECS03-017; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;17;blu navy;navy blue
CodeBarre;HLESXF00-ECS03-084; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;84;testa di moro;dark brown
CodeBarre;HLESXF00-ECS03-018; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;18;bordeaux;burgundy
CodeBarre;HLESXF00-ECS03-055; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;55;nero;black
CodeBarre;HLESXF00-ECS03-540; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;540;curry;curry
CodeBarre;HLESXF00-ECS03-050; O bag fall 2018;24; manico extra slim goccia;HLESXF00;ECS03;50;melanzana;aubergine
CodeBarre;HLESAD00-ECS00-017; O bag fall 2018;25; manichetto tubolare ecopelle;HLESAD00;ECS00;17;blu navy;navy blue
CodeBarre;HLESAD00-ECS00-055; O bag fall 2018;25; manichetto tubolare ecopelle;HLESAD00;ECS00;55;nero;black
CodeBarre;HLESAD00-ECS00-018; O bag fall 2018;25; manichetto tubolare ecopelle;HLESAD00;ECS00;18;bordeaux;burgundy
CodeBarre;HLESAD00-ECS00-541; O bag fall 2018;25; manichetto tubolare ecopelle;HLESAD00;ECS00;541;verde bosco;green forest
CodeBarre;HLESAD00-ECS84-227; O bag fall 2018;25; manichetto tubolare ecopelle;HLESAD00;ECS84;227;bianco/nero;white - black
CodeBarre;HLESAD01-FAS09-008; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;8;bianco;white
CodeBarre;HLESAD01-FAS09-002; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;2;amaranto;amaranth
CodeBarre;HLESAD01-FAS09-018; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;18;bordeaux;burgundy
CodeBarre;HLESAD01-FAS09-086; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;86;tortora;dove-grey
CodeBarre;HLESAD01-FAS09-541; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;541;verde bosco;green forest
CodeBarre;HLESAD01-FAS09-379; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;379;blu notte;night blue
CodeBarre;HLESAD01-FAS09-055; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;55;nero;black
CodeBarre;HLESAD01-FAS09-137; O bag fall 2018;26; manichetto tubolare corto +;HLESAD01;FAS09;137;bluette;bright blue
CodeBarre;HLESAD01-FAS31-086; O bag fall 2018;27; manichetto tubolare corto +;HLESAD01;FAS31;86;tortora;dove - grey
CodeBarre;HLESFC00-ECS08-018; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;18;bordeaux;burgundy
CodeBarre;HLESFC00-ECS08-183; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;183;viola;violet
CodeBarre;HLESFC00-ECS08-055; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;55;nero;black
CodeBarre;HLESFC00-ECS08-084; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;84;testa di moro;dark brown
CodeBarre;HLESFC00-ECS08-089; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;89;verde;green
CodeBarre;HLESFC00-ECS08-009; O bag fall 2018;27; manico con fibbia corto;HLESFC00;ECS08;9;blu;blue
8058983594841;HLESGC00-ECS04-026; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;26;cobalto;cobalt blue
8058983596739;HLESGC00-ECS04-017; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;17;blu navy;navy blue
8058333583600;HLESGC00-ECS04-183; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;183;viola;violet
8058983591840;HLESGC00-ECS04-093; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;93;vino;wine
8058983596715;HLESGC00-ECS04-042; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;42;legno;wood
8058983596722;HLESGC00-ECS04-038; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;38;grafite;graphite
CodeBarre;HLESGC00-ECS04-082; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;82;tabacco;tobacco
CodeBarre;HLESGC00-ECS04-135; O bag fall 2018;28; manico corto ecopelle;HLESGC00;ECS04;135;peltro;pewter
CodeBarre;HLESGC00-ECS83-018; O bag fall 2018;29; manico corto ecopelle con;HLESGC00;ECS83;18;bordeaux;burgundy
CodeBarre;HLESGC00-ECS83-017; O bag fall 2018;29; manico corto ecopelle con;HLESGC00;ECS83;17;blu navy;navy blue
CodeBarre;HLESX800-ECS00-052; O bag fall 2018;29; manico extra slim goccia;HLESX800;ECS00;52;muschio;moss green
CodeBarre;HLESX800-ECS00-017; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;17;blu navy;navy blue
CodeBarre;HLESX800-ECS00-108; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;108;terracotta;terracotta
CodeBarre;HLESX800-ECS00-018; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;18;bordeaux;burgundy
CodeBarre;HLESX800-ECS00-084; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;84;testa di moro;dark brown
CodeBarre;HLESX800-ECS00-540; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;540;curry;curry
CodeBarre;HLESX800-ECS00-055; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;55;nero;black
CodeBarre;HLESX800-ECS00-050; O bag fall 2018;30; manico extra slim goccia;HLESX800;ECS00;50;melanzana;aubergine
CodeBarre;HLESGC00-ECS29-018; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;18;bordeaux;burgundy
CodeBarre;HLESGC00-ECS29-055; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;55;nero;black
CodeBarre;HLESGC00-ECS29-017; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;17;blu navy;navy blue
CodeBarre;HLESGC00-ECS29-371; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;371;latte;milk
CodeBarre;HLESGC00-ECS29-050; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;50;melanzana;aubergine
CodeBarre;HLESGC00-ECS29-041; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;41;grigio scuro;dark grey
CodeBarre;HLESGC00-ECS29-086; O bag fall 2018;31; manico corto ecopelle;HLESGC00;ECS29;86;tortora;dove - grey
CodeBarre;HLESGE00-FAS09-076; O bag fall 2018;32; manico corto + catena;HLESGE00;FAS09;76;rosso;red
CodeBarre;HLESGE00-FAS09-541; O bag fall 2018;32; manico corto + catena;HLESGE00;FAS09;541;verde bosco;green forest
