XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OBAGS019-TES01-008; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;8;bianco;white
CodeBarre;OBAGS019-TES01-071; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;71;roccia;rock
CodeBarre;OBAGS019-TES01-063; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;63;ottanio;teal
CodeBarre;OBAGS019-TES01-059; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;59;oceano;ocean
CodeBarre;OBAGS019-TES01-041; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;41;grigio scuro;dark grey
CodeBarre;OBAGS019-TES01-044; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;44;lime;lime
CodeBarre;OBAGS019-TES01-086; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;86;tortora;dove-grey
CodeBarre;OBAGS019-TES01-055; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;55;nero;black
CodeBarre;OBAGS019-TES01-183; O bag 2018 .continuativo carry over;46; sacca interna zip O square;OBAGS019;TES01;183;viola;violet
CodeBarre;OCLKD001-MES03-004; O bag 2018 .continuativo carry over;46; O clock meccanismo mirror;OCLKD001;MES03;4;argento;silver
CodeBarre;OCLKD001-MES03-004; O bag 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;4;argento;silver
CodeBarre;OCLKD001-MES03-020; O bag 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;20;bronzo;bronze
CodeBarre;OCLKD001-MES03-061; O bag 2018 .continuativo carry over;47; O clock meccanismo mirror;OCLKD001;MES03;61;oro;gold
CodeBarre;OCLKD001-MES04-061; O bag 2018 .continuativo carry over;47; O clock meccanismo soleil;OCLKD001;MES04;61;oro;gold
CodeBarre;OCLKD001-MES04-004; O bag 2018 .continuativo carry over;47; O clock meccanismo soleil;OCLKD001;MES04;4;argento;silver
CodeBarre;OCLKD001-MES02-186; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;186;bianco mix;white mix
