Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;055;;nero;black;
 O bag fall 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;004;;argento;silver;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;020;;bronzo;bronze;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;039;;grigio;great;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;51; O clock cinturino silicone;OCLKS007;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;52; meccanismo great tone on;OCLKD101;MES06;055;;nero;black;
 O bag fall 2018 .continuativo carry over;52; meccanismo great tone on;OCLKD101;MES06;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;52; meccanismo great tone on;OCLKD101;MES06;039;;grigio;great;
 O bag fall 2018 .continuativo carry over;52; meccanismo great tone on;OCLKD101;MES06;009;;blu;blue;
 O bag fall 2018 .continuativo carry over;52; meccanismo great tone on;OCLKD101;MES06;055;;nero;black;
 O bag fall 2018 .continuativo carry over;53; meccanismo great date tone;OCLKD104;MES06;008;;bianco;white;
 O bag fall 2018 .continuativo carry over;53; meccanismo great date tone;OCLKD104;MES06;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;53; meccanismo great date tone;OCLKD104;MES06;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;53; meccanismo great date tone;OCLKD104;MES06;041;;grigio scuro;dark grey;
 O bag fall 2018 .continuativo carry over;53; meccanismo great date tone;OCLKD104;MES06;055;;nero;black;
 O bag fall 2018 .continuativo carry over;56; O clock cinturino great;OCLKS107;SIS01;143;;neve;snow white;
 O bag fall 2018 .continuativo carry over;56; O clock cinturino great;OCLKS107;SIS01;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;56; O clock cinturino great;OCLKS107;SIS01;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;56; O clock cinturino great;OCLKS107;SIS01;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;56; O clock cinturino great;OCLKS107;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;57; O bracelet flower slim;OBRCF002;SIS01;143;;neve;snow white;
 O bag fall 2018 .continuativo carry over;57; O bracelet flower slim;OBRCF002;SIS01;059;;oceano;ocean;
 O bag fall 2018 .continuativo carry over;57; O bracelet flower slim;OBRCF002;SIS01;086;;tortora;dove-grey;
 O bag fall 2018 .continuativo carry over;57; O bracelet flower slim;OBRCF002;SIS01;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;57; O bracelet flower slim;OBRCF002;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;60; O bracelet flower big silicone;OBRCF003;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;60; O bracelet flower big silicone;OBRCF003;SIS01;006;;avorio;ivory;
 O bag fall 2018 .continuativo carry over;60; O bracelet flower big silicone;OBRCF003;SIS01;017;;blu navy;navy blue;
 O bag fall 2018 .continuativo carry over;60; O bracelet flower big silicone;OBRCF003;SIS01;071;;roccia;rock;
 O bag fall 2018 .continuativo carry over;60; O bracelet flower big silicone;OBRCF003;SIS01;055;;nero;black;
 O bag fall 2018 .continuativo carry over;60; interno donna ecopelle con;OHUGI002;ECS70;371;;latte;milk;
