CodeBarre;HLESGC00-ECS29-084;p029-1-04;testa di moro;dark brown;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESGC00-ECS04-135;p029-1-05;peltro;peltro;O bag winter 2018; manico corto ecopelle;;;
CodeBarre;HLESMD00-ECS46-076;p029-1-05;rosso;red;O bag winter 2018; micromanico tubolare corto;;;
CodeBarre;HLESF800-ECS94-082;p029-1-05;tabacco;tobacco;O bag winter 2018; manico con fibbia a goccia;;;
CodeBarre;HLESMD00-ECS46-221;p029-1-06;cognac;cognac;O bag winter 2018; micromanico tubolare corto;;;
CodeBarre;HLESAH00-PLS00-055;p031-1-01;nero;black;O bag winter 2018; manichetto maxi catena;;;
CodeBarre;HLESAH00-PLS00-564;p031-1-02;tartarugato;tartarugato;O bag winter 2018; manichetto maxi catena;;;
CodeBarre;HLESG000-ECS04-017;p032-1-01;blu navy;navy blue;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-038;p032-1-02;grafite;graphite;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-082;p032-1-03;tabacco;tobacco;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-137;p032-1-04;bluette;bluette;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-051;p032-1-05;mostarda;mostarda;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-046;p032-1-06;mare;mare;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-093;p032-1-07;vino;wine;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-135;p032-1-08;peltro;peltro;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESG000-ECS04-183;p032-1-09;viola;violet;O bag winter 2018; manico lungo ecopelle;;;
CodeBarre;HLESD000-ECS35-017;p033-1-01;blu navy;navy blue;O bag winter 2018; manico lungo componibile;;;
CodeBarre;HLESX200-ECS00-052;p033-1-01;vulcano;vulcano;O bag winter 2018; manico extra slim goccia;;;
CodeBarre;HLESD000-ECS35-018;p033-1-02;bordeaux;burgundy;O bag winter 2018; manico lungo componibile;;;
CodeBarre;HLESD000-ECS35-055;p033-1-03;nero;black;O bag winter 2018; manico lungo componibile;;;
CodeBarre;HLESD000-ECS35-084;p033-1-04;testa di moro;dark brown;O bag winter 2018; manico lungo componibile;;;
CodeBarre;HLESCE01-ECS00-017;p034-1-01;blu navy + oro;navy blue + gold;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS07-075;p034-1-01;rosa smoke + silver;rose smoke + silver;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS07-017;p034-1-02;blu navy + silver;navy blue + silver;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS00-018;p034-1-02;bordeaux + oro;burgundy + gold;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS00-020;p034-1-03;bronzo + oro;bronze + gold;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS07-133;p034-1-03;grigio chiaro + silver;light grey + silver;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS00-084;p034-1-04;testa di moro + oro;dark brown + gold;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;HLESCE01-ECS00-055;p034-1-05;nero + silver;black + silver;O bag winter 2018; manico doppia catena a “t”;;;
CodeBarre;SHOUC106-ECS16-017;p035-2-01;blu navy;navy blue;O bag winter 2018; tracolla catena con fascia;;;
CodeBarre;SHOUC106-ECS16-018;p035-2-02;bordeaux;burgundy;O bag winter 2018; tracolla catena con fascia;;;
CodeBarre;SHOUC106-ECS16-055;p035-2-03;nero;black;O bag winter 2018; tracolla catena con fascia;;;
CodeBarre;SHOUC106-ECS16-084;p035-2-04;testa di moro;dark brown;O bag winter 2018; tracolla catena con fascia;;;
CodeBarre;SHOUC106-ECS16-020;p035-2-05;bronzo;bronze;O bag winter 2018; tracolla catena con fascia;;;
