codeBarre;Code compact;Catalogue;p000-01;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
codeBarre;OBAGB034-EVS00-071; O bag winter 2018;p018-08; scocca O bag glam EVA;OBAGB034;EVS00;071;roccia;rock
codeBarre;OBAGB034-EVS00-541; O bag winter 2018;p018-09; scocca O bag glam EVA;OBAGB034;EVS00;541;verde bosco;green forest
codeBarre;OBAGB034-EVS00-076; O bag winter 2018;p019-01; scocca O bag glam EVA;OBAGB034;EVS00;076;rosso;red
codeBarre;OBAGB034-EVS00-389; O bag winter 2018;p019-02; scocca O bag glam EVA;OBAGB034;EVS00;389;silver;silver
codeBarre;OBAGB034-EVS00-075; O bag winter 2018;p019-03; scocca O bag glam EVA;OBAGB034;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB034-EVS00-024; O bag winter 2018;p019-04; scocca O bag glam EVA;OBAGB034;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB034-EVS00-599; O bag winter 2018;p019-05; scocca O bag glam EVA;OBAGB034;EVS00;599;rame;copper
codeBarre;OBAGB206-EVS00-002; O bag winter 2018;p020-01; scocca sotto O pocket EVA;OBAGB206;EVS00;002;amaranto;amaranth
codeBarre;OBAGB206-EVS00-485; O bag winter 2018;p020-02; scocca sotto O pocket EVA;OBAGB206;EVS00;485;atlantic;atlantic
codeBarre;OBAGB206-EVS00-018; O bag winter 2018;p020-03; scocca sotto O pocket EVA;OBAGB206;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB206-EVS00-463; O bag winter 2018;p020-04; scocca sotto O pocket EVA;OBAGB206;EVS00;463;blu maya;maya blue
codeBarre;OBAGB206-EVS00-540; O bag winter 2018;p020-05; scocca sotto O pocket EVA;OBAGB206;EVS00;540;curry;curry
codeBarre;OBAGB206-EVS00-050; O bag winter 2018;p020-06; scocca sotto O pocket EVA;OBAGB206;EVS00;050;melanzana;aubergine
codeBarre;OBAGB206-EVS00-038; O bag winter 2018;p020-07; scocca sotto O pocket EVA;OBAGB206;EVS00;038;grafite;graphite
codeBarre;OBAGB206-EVS00-071; O bag winter 2018;p020-08; scocca sotto O pocket EVA;OBAGB206;EVS00;071;roccia;rock
codeBarre;OBAGB206-EVS00-076; O bag winter 2018;p020-09; scocca sotto O pocket EVA;OBAGB206;EVS00;076;rosso;red
codeBarre;OBAGB206-EVS00-024; O bag winter 2018;p020-10; scocca sotto O pocket EVA;OBAGB206;EVS00;024;cioccolato;chocolate
codeBarre;OBAGB206-EVS00-075; O bag winter 2018;p020-11; scocca sotto O pocket EVA;OBAGB206;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB206-EVS00-026; O bag winter 2018;p020-12; scocca sotto O pocket EVA;OBAGB206;EVS00;026;cobalto;cobalt blue
codeBarre;OBAGB206-EVS00-017; O bag winter 2018;p021-01; scocca sotto O pocket EVA;OBAGB206;EVS00;017;blu navy;navy blue
codeBarre;OBAGB206-EVS00-055; O bag winter 2018;p021-02; scocca sotto O pocket EVA;OBAGB206;EVS00;055;nero;black
codeBarre;OBAGB206-EVS00-371; O bag winter 2018;p021-03; scocca sotto O pocket EVA;OBAGB206;EVS00;371;latte;milk
codeBarre;OBAGB206-EVS00-078; O bag winter 2018;p021-04; scocca sotto O pocket EVA;OBAGB206;EVS00;078;sabbia;sand
codeBarre;OBAGB206-EVS00-389; O bag winter 2018;p021-05; scocca sotto O pocket EVA;OBAGB206;EVS00;389;silver;silver
codeBarre;OBAGB206-EVS00-599; O bag winter 2018;p021-06; scocca sotto O pocket EVA;OBAGB206;EVS00;599;rame;copper
codeBarre;OBAGB024-EVS00-002; O bag winter 2018;p022-01; scocca O pocket micro EVA;OBAGB024;EVS00;002;amaranto;amaranth
codeBarre;OBAGB024-EVS00-017; O bag winter 2018;p022-02; scocca O pocket micro EVA;OBAGB024;EVS00;017;blu navy;navy blue
codeBarre;OBAGB024-EVS00-485; O bag winter 2018;p022-03; scocca O pocket micro EVA;OBAGB024;EVS00;485;atlantic;atlantic
codeBarre;OBAGB024-EVS00-018; O bag winter 2018;p022-04; scocca O pocket micro EVA;OBAGB024;EVS00;018;bordeaux;burgundy
codeBarre;OBAGB024-EVS00-463; O bag winter 2018;p022-05; scocca O pocket micro EVA;OBAGB024;EVS00;463;blu maya;maya blue
codeBarre;OBAGB024-EVS00-540; O bag winter 2018;p022-06; scocca O pocket micro EVA;OBAGB024;EVS00;540;curry;curry
codeBarre;OBAGB024-EVS00-050; O bag winter 2018;p022-07; scocca O pocket micro EVA;OBAGB024;EVS00;050;melanzana;aubergine
codeBarre;OBAGB024-EVS00-076; O bag winter 2018;p022-08; scocca O pocket micro EVA;OBAGB024;EVS00;076;rosso;red
codeBarre;OBAGB024-EVS00-055; O bag winter 2018;p022-09; scocca O pocket micro EVA;OBAGB024;EVS00;055;nero;black
codeBarre;OBAGB024-EVS00-371; O bag winter 2018;p022-10; scocca O pocket micro EVA;OBAGB024;EVS00;371;latte;milk
codeBarre;OBAGB024-EVS00-075; O bag winter 2018;p022-11; scocca O pocket micro EVA;OBAGB024;EVS00;075;rosa smoke;rose smoke
codeBarre;OBAGB024-EVS00-026; O bag winter 2018;p022-12; scocca O pocket micro EVA;OBAGB024;EVS00;026;cobalto;cobalt blue
8050846030909;HLESAD01-FAS09-008; O bag winter 2018;p026-01; manichetto tubolare corto +;HLESAD01;FAS09;008;bianco;white
8050846038905;HLESAD01-FAS09-018; O bag winter 2018;p026-02; manichetto tubolare corto +;HLESAD01;FAS09;018;bordeaux;burgundy
8050846030916;HLESAD01-FAS09-055; O bag winter 2018;p026-03; manichetto tubolare corto +;HLESAD01;FAS09;055;nero;black
8050846044937;HLESAD01-FAS09-075; O bag winter 2018;p026-04; manichetto tubolare corto +;HLESAD01;FAS09;075;rosa smoke;rose smoke
8050846038912;HLESAD01-FAS09-086; O bag winter 2018;p026-05; manichetto tubolare corto +;HLESAD01;FAS09;086;tortora;dove - grey
8050846044845;HLESAD01-FAS09-133; O bag winter 2018;p026-06; manichetto tubolare corto +;HLESAD01;FAS09;133;grigio chiaro;light grey
