 ANSES/ANGULAIREX;SAI  ;COL  ;  ;     S;     M;     L;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;     ;     ;PV;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
                 ;OBAG ;     ;ST;6;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;6
 ANSES/COCO      ;SAI  ;COL  ;  ;0;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;H18  ;BDX  ;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,8
                 ;     ;     ;PV;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198
                 ;OBAG ;     ;ST;6;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;6
                 ;H18  ;BLK  ;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,6
                 ;     ;     ;PV;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231
                 ;OBAG ;     ;ST;7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;7
                 ;H18  ;CURRY;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8
                 ;     ;     ;PV;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
                 ;OBAG ;     ;ST;1;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;1
                 ;H18  ;NAVY ;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,4
                 ;     ;     ;PV;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264
                 ;OBAG ;     ;ST;8;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;8
                 ;H18  ;TESTA;PA;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,6
                 ;     ;     ;PV;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231
                 ;OBAG ;     ;ST;7;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;7
 ANSES/CORDE     ;SAI  ;COL  ;  ;    XS;     S;     M;     L;    XL;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;       
                 ;E18  ;BLUE ;PA;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;210
                 ;     ;     ;PV;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;75
                 ;OBAG ;     ;ST;      ;3;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;3
