'030;420222909-KG;Document Date doc. Client dest.;-;-;CodeBarre;PROF949_2019TOULOUSE.txt
'007;019;OBAGS001-TES01-054;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p032-1-04;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG EN TISSU CANVAS;UNICA
'009;008;OBAGS002-TES01-008;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p033-1-01;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'012;012;OBAGS002-TES01-055;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p033-1-02;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'011;011;OBAGS002-TES01-054;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p033-1-03;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'010;002;OBAGS002-TES01-009;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p033-1-04;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'013;014;OBAGS121-TES01-054;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p036-1-01;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'014;021;OBAGS121-TES01-055;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p036-1-02;POCHETTE INTERIEURE À COULISSE O SWING EN TISSU CANVAS;UNICA
'016;022;OCLKS007-SIS01-008-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-01;O CLOCK BRACELET COVER EN SILICONE;M
'015;022;OCLKS007-SIS01-008-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-01;O CLOCK BRACELET COVER EN SILICONE;S
'026;005;OCLKS007-SIS01-133-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-02;O CLOCK BRACELET COVER EN SILICONE;M
'025;005;OCLKS007-SIS01-133-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-02;O CLOCK BRACELET COVER EN SILICONE;S
'022;023;OCLKS007-SIS01-071-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-03;O CLOCK BRACELET COVER EN SILICONE;M
