Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Code barre;Couleur it;Couleur en;
 O bag summer 2018 .continuativo carry over;70; O clock cinturino great;OCLKS107;SIS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;70; O clock cinturino great;OCLKS107;SIS01;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;70; O clock cinturino great;OCLKS107;SIS01;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;70; O clock cinturino great;OCLKS107;SIS01;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;70; O clock cinturino great;OCLKS107;SIS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;71; O bracelet flower slim;OBRCF002;SIS01;008;;bianco;white;
 O bag summer 2018 .continuativo carry over;71; O bracelet flower slim;OBRCF002;SIS01;059;;oceano;ocean;
 O bag summer 2018 .continuativo carry over;71; O bracelet flower slim;OBRCF002;SIS01;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;71; O bracelet flower slim;OBRCF002;SIS01;071;;roccia;rock;
 O bag summer 2018 .continuativo carry over;71; O bracelet flower slim;OBRCF002;SIS01;055;;nero;black;
 O bag summer 2018 .continuativo carry over;72; O bracelet daisy big silicone;OBRCD003;SIS00;143;;neve;snow;
 O bag summer 2018 .continuativo carry over;72; O bracelet daisy big silicone;OBRCD003;SIS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;72; O bracelet daisy big silicone;OBRCD003;SIS00;086;;tortora;dove-grey;
 O bag summer 2018 .continuativo carry over;76; O bracelet daisy big silicone;OBRCD003;SIS00;133;;grigio chiaro;light grey;
 O bag summer 2018 .continuativo carry over;76; O bracelet daisy big silicone;OBRCD003;SIS00;055;;nero;black;
 O bag summer 2018 .continuativo carry over;76; O bracelet daisy big silicone;OBRCD003;SIS00;006;;avorio;ivory;
